band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,3761,3306,4867,4006,3767,3113,4709,3866,4471,375
3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,3821,3725,3814,3858,3919,3823,3785,3873,3830,390
1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,1764,2309,1705,1865,2481,2269,450,2837,2910,273
1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,1098,1247,1200,1175,1188,1183,1187,1186,1191,324
2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,2182,2102,2264,2200,2212,2187,2052,2370,2214,179
1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,1848,1872,1849,1867,1865,1805,1915,1856,1865,405
1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,1275,1221,1049,1583,1147,1262,1160,1577,1285,5
1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,1726,1928,1719,1626,1835,1969,1794,1927,1949,581
3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,3610,4087,3458,4330,3881,3877,3873,3876,3875,111
1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,1156,1178,1213,1199,1100,1243,1172,1141,1276,378
18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,18,19,17,19,18,18,18,18,19,634
4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,4229,4170,4312,4254,4215,4254,4253,4206,4279,119
1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,1002,1002,1003,1002,954,1041,960,980,1077,162
1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,1383,1385,1318,1394,1368,1341,1444,1432,1401,298
4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,4069,4158,4128,4016,4220,4078,4149,4124,4124,409
2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,2745,3176,3385,3100,1903,4280,2043,4225,3293,574
901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,901,950,1023,669,1229,724,1225,963,976,210
2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,2235,2246,2096,2362,2265,2242,2208,2268,2247,170
1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,1588,1784,1644,1726,1699,1682,1695,1688,1690,387
1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,1175,1044,1393,1199,1209,1052,1090,1454,1227,147
1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,294
1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,1385,1159,1342,958,2322,1509,1326,1554,1522,294
3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,3819,4206,4038,4016,3505,4531,4023,4017,4036,388
584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,584,371,731,698,567,596,601,591,658,322
2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,2169,3013,2583,1705,1855,3806,3006,2374,2810,578
825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,825,862,842,737,952,837,851,844,844,232
1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,1657,438,1736,2262,2278,1547,770,2495,1886,195
309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,309,297,274,415,337,321,331,327,345,240
19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,19248,19089,19217,19501,18868,19653,19270,19191,19339,114
1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,1036,1041,682,1588,1109,835,1324,1119,1137,159
643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,643,642,642,499,703,727,645,636,651,598
2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,2744,3768,3457,3049,3334,3003,3901,3207,3458,200
4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,4583,4171,3927,5265,4975,4574,4345,4684,4742,535
1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,1229,1530,1015,1908,1007,1845,1239,1568,1464,184
1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,1562,1625,1566,1597,1641,1605,1597,1607,1603,330
896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,896,792,1012,773,770,1050,991,909,907,588
1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,1358,2000,1651,1649,1491,1781,1786,1364,2029,188
3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,3156,4429,2799,4812,3162,4755,3804,2795,5087,528
1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,1806,1874,1777,1907,1837,1843,1843,1838,1845,394
3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,3031,3200,3067,3102,3103,3210,3127,3112,3128,260
81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,81,83,75,80,98,65,76,99,93,536
946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,946,1052,864,1059,940,1125,1008,999,1002,302
2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,2450,2420,2705,2519,2659,2371,2784,2529,2588,558
